framework,precision,resolution,hardware,model,fps,latency_ms,size_mb,map50,notes,A_norm,F_norm,S_norm,utility,feasible
TensorRT,INT8,640,GPU2,YOLOv8m,57.928,17.2628,27.627,0.672744,,0.6585763604699107,0.8941324365944875,0.16807378748100044,0.5639131537171015,True
ONNX,FP16,640,GPU2,YOLOv8m,30.4514,32.8392,49.51,0.7236,,0.9715382863894548,0.4623683962412395,0.3192621251899959,0.5606272370291001,True
PyTorch,FP16,640,GPU2,YOLOv8m,46.665,21.4293,49.72,0.698218,,0.8153404020947822,0.7171469876488891,0.3207130026253973,0.5586716968169784,True
PyTorch,FP16,640,GPU2,YOLOv8n,59.0658,16.9303,6.25,0.659246,,0.5755112339152857,0.9120116911279424,0.020381373497305517,0.5572828495965645,True
ONNX,FP16,640,GPU2,YOLOv8s,30.1633,33.1529,21.41,0.7092,,0.8829223564452707,0.45784122693987866,0.12512090645295013,0.5537893650140089,True
ONNX,INT8 Dynamic,640,GPU2,YOLOv8n,45.9126,21.7805,12.26,0.6799,,0.7026135545449508,0.7053238631006631,0.06190410391046015,0.5505231154205823,True
TensorRT,INT8,640,GPU1,YOLOv8m,56.5572,17.6812,27.17,0.669644,,0.6394993199958156,0.8725918476382036,0.16491640182396022,0.5485439339245768,True
TensorRT,FP32,640,GPU2,YOLOv8m,47.32,21.1327,117.09,0.723541,,0.9711752072320444,0.7274395801250825,0.7861683017825067,0.5465858172970456,False
ONNX,INT8 Static,640,GPU2,YOLOv8m,30.265,33.0415,25.34,0.7082,,0.876768472421369,0.4594393287029762,0.1522730413154622,0.5457614265584849,True
ONNX,FP16,640,GPU1,YOLOv8s,28.142,35.5341,21.41,0.7091,,0.88230696804288,0.42607875797479494,0.12512090645295013,0.5439529301232884,True
ONNX,FP32,640,GPU2,YOLOv8n,43.7517,22.8563,12.26,0.6799,,0.7026135545449508,0.6713677362582106,0.06190410391046015,0.5403362773678465,True
PyTorch,INT8 Dynamic,640,GPU1,YOLOv8n,56.2006,17.7934,12.34,0.660611,,0.5839112856079112,0.8669882774442943,0.06245681912394639,0.5395607622124545,True
PyTorch,INT8 Dynamic,640,GPU2,YOLOv8m,55.4476,18.035,99.25,0.699277,,0.8218573652760942,0.8551557245670826,0.6629128091750727,0.5348928381731572,False
PyTorch,FP16,640,GPU1,YOLOv8n,52.8538,18.9201,6.25,0.659246,,0.5755112339152857,0.8143970583613565,0.020381373497305517,0.5279984597665887,True
ONNX,INT8 Static,640,GPU2,YOLOv8s,37.0933,26.959,11.14,0.684,,0.7278444790429484,0.5667384267261699,0.05416609092165263,0.5231105493549947,True
ONNX,INT8 Dynamic,640,GPU2,YOLOv8m,36.8402,27.1443,99.0,0.7236,,0.9715382863894548,0.5627612432823157,0.6611855741329281,0.5223604013528365,False
ONNX,FP32,640,GPU1,YOLOv8n,39.466,25.3383,12.26,0.6799,,0.7026135545449508,0.6040227537006192,0.06190410391046015,0.5201327826005692,True
ONNX,INT8 Dynamic,640,GPU1,YOLOv8n,38.7926,25.7781,12.26,0.6799,,0.7026135545449508,0.5934410258021937,0.06190410391046015,0.5169582642310415,True
PyTorch,FP32,640,GPU1,YOLOv8n,49.5332,20.1885,6.23,0.660611,,0.5839112856079112,0.7622175429774664,0.020243194693933958,0.5165722667584087,True
ONNX,FP32,640,GPU2,YOLOv8m,35.0169,28.5576,99.0,0.7236,,0.9715382863894548,0.5341101228825544,0.6611855741329281,0.5137650652329081,False
TensorRT,INT8,640,GPU2,YOLOv8s,59.3436,16.851,12.56,0.645651,,0.49184918061034216,0.9163770074483799,0.0639767859610336,0.5080423353474783,False
ONNX,FP16,640,GPU1,YOLOv8m,19.2476,51.9545,49.51,0.7235,,0.9709228979870647,0.2863132090889091,0.3192621251899959,0.507502986682206,True
ONNX,FP16,640,GPU2,YOLOv8n,34.2168,29.2254,6.14,0.6798,,0.7019981661425607,0.5215374461799553,0.01962139007876192,0.5035360389095146,True
ONNX,INT8 Dynamic,640,GPU1,YOLOv8s,25.911,38.5936,42.79,0.7079,,0.8749223072141981,0.39102108802916496,0.2728340472571508,0.5002006705644184,True
ONNX,FP32,640,GPU1,YOLOv8s,25.7842,38.7834,42.79,0.7079,,0.8749223072141981,0.38902856783682704,0.2728340472571508,0.49960291450671696,True
TFLite,Full Integer INT8,640,CPU2,YOLOv8m,5.6383,177.3584,25.25,0.728225,,1.0,0.07245827964423773,0.15165123670029018,0.49140723655321333,False
TFLite,Dynamic Range,640,CPU2,YOLOv8m,5.4915,182.0996,25.15,0.728225,,1.0,0.07015148181903895,0.15096034268343236,0.4908533760090252,False
PyTorch,FP16,640,GPU1,YOLOv8m,32.7301,30.5529,49.72,0.697034,,0.8080542034104828,0.4981756183412427,0.3207130026253973,0.4893371866825348,True
PyTorch,FP16,640,CPU2,YOLOv8s,24.2299,41.2713,21.54,0.697099,,0.8084542058720363,0.3646044815990446,0.1260190686748653,0.4884046336807585,True
PyTorch,FP32,640,CPU2,YOLOv8s,24.079,41.53,21.53,0.697099,,0.8084542058720363,0.36223325685910934,0.12594997927317952,0.4877070841391151,True
ONNX,FP16,640,CPU2,YOLOv8s,16.2747,61.4451,21.41,0.7079,,0.8749223072141981,0.23959741035230522,0.12512090645295013,0.4843161954222006,True
TFLite,Dynamic Range,640,CPU1,YOLOv8m,3.7988,263.241,25.15,0.728069,,0.9990399940922711,0.04355259436185927,0.15096034268343236,0.4823937068180068,False
TFLite,Full Integer INT8,640,CPU2,YOLOv8s,10.8917,91.813,11.09,0.710357,,0.8900424002609247,0.15500958546780225,0.05382064391322372,0.48075994698815827,True
TensorRT,INT8,640,GPU1,YOLOv8s,54.402,18.3817,12.46,0.644273,,0.48336912842540575,0.8387252899211164,0.06328589194417578,0.4806449728002026,False
TFLite,Dynamic Range,640,CPU2,YOLOv8s,10.8215,92.4086,11.0,0.710357,,0.8900424002609247,0.1539064709764606,0.053198839298051685,0.4805533735637902,True
TFLite,Full Integer INT8,640,CPU1,YOLOv8m,3.2607,306.6826,25.25,0.728069,,0.9990399940922711,0.03509695464973758,0.15165123670029018,0.4797188361009988,False
ONNX,INT8 Dynamic,640,CPU2,YOLOv8s,19.5231,51.2214,42.79,0.7079,,0.8749223072141981,0.2906423834815676,0.2728340472571508,0.4700870592001391,True
ONNX,FP32,640,CPU2,YOLOv8s,19.322,51.7545,42.79,0.7079,,0.8749223072141981,0.28748232188315154,0.2728340472571508,0.46913904072061435,True
ONNX,INT8 Static,640,GPU2,YOLOv8n,39.398,25.382,3.43,0.6588,,0.5727666016406259,0.6029542097488922,0.0008981622219151607,0.4670899313005976,True
ONNX,INT8 Dynamic,640,CPU2,YOLOv8n,28.0307,35.6752,12.26,0.6799,,0.7026135545449508,0.4243298029479242,0.06190410391046015,0.46622489737476064,True
ONNX,FP32,640,CPU2,YOLOv8n,27.9382,35.7933,12.26,0.6799,,0.7026135545449508,0.42287626889594265,0.06190410391046015,0.4657888371591662,True
ONNX,FP16,640,CPU2,YOLOv8m,9.5101,105.1514,49.51,0.7235,,0.9709228979870647,0.13329928658977339,0.3192621251899959,0.4615988099324651,False
PyTorch,INT8 Dynamic,640,CPU2,YOLOv8s,24.7752,40.3629,42.93,0.697099,,0.8084542058720363,0.37317326125899625,0.2738012988807517,0.4614188215375667,True
ONNX,INT8 Static,640,GPU1,YOLOv8m,11.8089,84.6819,25.34,0.7082,,0.876768472421369,0.16942235771080172,0.1522730413154622,0.4587563352608326,True
PyTorch,FP16,640,CPU2,YOLOv8n,37.3343,26.785,6.25,0.660008,,0.580200493541499,0.5705254722021433,0.020381373497305517,0.4571816137319314,True
ONNX,INT8 Static,640,GPU1,YOLOv8s,22.362,44.7187,11.14,0.6849,,0.7333829746644592,0.33525252207800366,0.05416609092165263,0.45643402577130016,True
PyTorch,FP32,640,GPU1,YOLOv8m,24.0304,41.614,49.7,0.699283,,0.8218942885802374,0.3614695622112574,0.3205748238220258,0.45527304818909076,True
ONNX,INT8 Static,640,CPU2,YOLOv8m,6.2983,158.773,25.34,0.7152,,0.9198456605886802,0.08282944152864642,0.1522730413154622,0.4543170544898416,False
TFLite,Full Integer INT8,640,CPU1,YOLOv8s,6.9061,144.7995,11.09,0.707849,,0.8746084591289789,0.09238033879128824,0.05382064391322372,0.45425420241923115,False
ONNX,FP32,640,CPU1,YOLOv8n,23.9696,41.7195,12.26,0.6814,,0.7118443805808037,0.3605141582073604,0.06190410391046015,0.45169561697051797,True
TFLite,FP32,640,CPU1,YOLOv8s,3.7642,265.6607,4.86,0.707885,,0.8748299989538396,0.043008894057009965,0.010777946662981904,0.4481620783614264,False
ONNX,FP16,640,CPU2,YOLOv8n,22.2073,45.0302,6.14,0.6798,,0.7019981661425607,0.3328215845878249,0.01962139007876192,0.44692128043187546,True
TensorRT,FP32,640,GPU1,YOLOv8m,35.1137,28.4789,148.04,0.72354,,0.9711690533480203,0.535631226625601,1.0,0.4462738946616904,False
PyTorch,INT8 Dynamic,640,CPU2,YOLOv8n,36.5678,27.3465,12.34,0.660008,,0.580200493541499,0.5584807819227505,0.06245681912394639,0.4451531175227854,True
ONNX,FP16,640,CPU1,YOLOv8s,6.7362,148.4516,21.41,0.7093,,0.8835377448476608,0.08971055030013515,0.12512090645295013,0.4436578562232809,False
ONNX,FP16,640,GPU1,YOLOv8n,19.7382,50.6632,6.14,0.6798,,0.7019981661425607,0.2940224394229862,0.01962139007876192,0.4352815368824238,True
ONNX,FP16,640,CPU1,YOLOv8m,3.2922,303.7483,49.51,0.7235,,0.9709228979870647,0.035591941921493446,0.3192621251899959,0.43228660653198114,False
TFLite,Dynamic Range,640,CPU1,YOLOv8s,2.7843,359.1567,11.0,0.706848,,0.8684484212210538,0.027610861434991675,0.053198839298051685,0.43186770118141404,False
ONNX,INT8 Static,640,CPU1,YOLOv8m,2.677,373.5525,25.34,0.7134,,0.9087686693456577,0.025924761934693112,0.1522730413154622,0.43170715499014434,False
PyTorch,FP32,640,CPU2,YOLOv8n,31.8648,31.3826,6.23,0.660008,,0.580200493541499,0.48457839655551715,0.020243194693933958,0.4314251267986179,True
ONNX,FP32,640,CPU1,YOLOv8s,10.3011,97.077,42.79,0.7091,,0.88230696804288,0.14572896696942078,0.2728340472571508,0.4303053646608361,True
TFLite,Dynamic Range,640,CPU2,YOLOv8n,20.1043,49.7406,3.3,0.676014,,0.6786995612280692,0.2997752914925045,0.0,0.42928236806178593,True
TFLite,Full Integer INT8,640,CPU2,YOLOv8n,19.8451,50.3903,3.39,0.676014,,0.6786995612280692,0.2957022533706276,0.0006218046151720347,0.42793609570218843,True
ONNX,INT8 Dynamic,640,GPU1,YOLOv8m,16.7324,59.7643,99.0,0.7236,,0.9715382863894548,0.2467896539803262,0.6611855741329281,0.4275689245622396,False
ONNX,INT8 Static,640,GPU1,YOLOv8n,30.5967,32.6833,3.43,0.6587,,0.5721512132382351,0.4646516232439737,0.0008981622219151607,0.42529146114792665,True
ONNX,INT8 Static,640,CPU2,YOLOv8s,11.552,86.5651,11.14,0.6912,,0.7721524440150404,0.16538546151670386,0.05416609092165263,0.4248586422782008,True
TFLite,FP16,640,CPU2,YOLOv8m,1.6664,600.096,49.61,0.723548,,0.9712182844202115,0.010044313146233386,0.3199530192068537,0.42463183231260504,False
ONNX,INT8 Dynamic,640,CPU1,YOLOv8s,9.8318,101.7108,42.79,0.7079,,0.8749223072141981,0.13835444231434046,0.2728340472571508,0.424400676849971,False
TFLite,FP16,640,CPU2,YOLOv8s,4.2973,232.7043,21.5,0.706397,,0.8656730195262743,0.05138596436091644,0.12574271106812215,0.4231037568577876,False
TFLite,FP16,640,CPU1,YOLOv8m,1.3239,755.3441,49.61,0.723548,,0.9712182844202115,0.004662308683490999,0.3199530192068537,0.42301723097378235,False
PyTorch,FP16,640,CPU1,YOLOv8s,10.0075,99.9251,21.54,0.697099,,0.8084542058720363,0.14111537131902321,0.1260190686748653,0.42135790059675204,True
TFLite,FP16,640,CPU1,YOLOv8s,3.7887,263.9428,21.5,0.706397,,0.8656730195262743,0.04339388415726453,0.12574271106812215,0.42070613279669206,False
PyTorch,FP32,640,CPU1,YOLOv8s,9.8645,101.3736,21.53,0.697099,,0.8084542058720363,0.138868286244068,0.12594997927317952,0.4206975929546027,False
TFLite,Dynamic Range,640,CPU1,YOLOv8n,19.1922,52.1045,3.3,0.672558,,0.6574317380414648,0.28544266004588453,0.0,0.4143486670344978,True
ONNX,FP16,640,CPU1,YOLOv8n,13.5533,73.7828,6.14,0.6815,,0.7124597689831937,0.19683365284892673,0.01962139007876192,0.4113557023305225,True
ONNX,FP32,640,GPU1,YOLOv8m,12.9254,77.367,99.0,0.7236,,0.9715382863894548,0.18696690656525974,0.6611855741329281,0.40962210033771973,False
ONNX,INT8 Dynamic,640,CPU1,YOLOv8n,15.0983,66.2326,12.26,0.6799,,0.7026135545449508,0.22111159998742888,0.06190410391046015,0.405259436486612,True
ONNX,INT8 Dynamic,640,CPU2,YOLOv8m,11.1965,89.3136,99.0,0.7236,,0.9715382863894548,0.1597991765926019,0.6611855741329281,0.4014717813459223,False
PyTorch,FP32,640,CPU2,YOLOv8m,13.2728,75.3421,49.7,0.698181,,0.8151127083858981,0.19242590904805304,0.3205748238220258,0.40116916214295983,True
ONNX,FP32,640,CPU2,YOLOv8m,10.9177,91.5944,99.0,0.7236,,0.9715382863894548,0.15541814639052137,0.6611855741329281,0.4001574722852982,False
ONNX,INT8 Static,640,CPU1,YOLOv8s,5.7725,173.2352,11.14,0.6918,,0.7758447744293809,0.07456708256073416,0.05416609092165263,0.3994592937985802,False
TFLite,FP32,640,CPU2,YOLOv8s,4.2676,234.3237,42.86,0.707885,,0.8748299989538396,0.05091926207611805,0.2733176730689513,0.39802724348596497,False
PyTorch,FP16,640,CPU2,YOLOv8m,12.4201,80.5146,49.72,0.698181,,0.8151127083858981,0.17902668217102988,0.3207130026253973,0.39712175831917856,True
PyTorch,INT8 Dynamic,640,CPU1,YOLOv8s,10.3536,96.5848,42.93,0.697099,,0.8084542058720363,0.14655394575568056,0.2738012988807517,0.393433026886572,True
TFLite,FP16,640,CPU2,YOLOv8n,10.6131,94.2232,6.23,0.679913,,0.7026935550372617,0.15063169804205034,0.020243194693933958,0.39248764799245917,True
TFLite,FP16,640,CPU1,YOLOv8n,10.4949,95.2844,6.23,0.679918,,0.7027243244573814,0.1487743172318426,0.020243194693933958,0.39194581845945664,True
PyTorch,FP16,640,CPU1,YOLOv8n,22.9402,43.5916,6.25,0.660008,,0.580200493541499,0.34433828844401143,0.020381373497305517,0.38932545860449186,True
PyTorch,INT8 Dynamic,640,GPU1,YOLOv8m,24.2137,41.2989,99.25,0.699283,,0.8218942885802374,0.3643499167164273,0.6629128091750727,0.38766955747003234,False
TFLite,FP32,640,CPU2,YOLOv8n,10.5576,94.7185,12.33,0.679877,,0.7024720152124011,0.14975957761086145,0.06238772972226062,0.38368633494500687,True
TFLite,FP32,640,CPU1,YOLOv8n,10.3313,96.7932,12.33,0.679877,,0.7024720152124011,0.1462035261950407,0.06238772972226062,0.38261951952026063,True
PyTorch,INT8 Dynamic,640,CPU1,YOLOv8n,21.6041,46.2875,12.34,0.660008,,0.580200493541499,0.32334297118074107,0.06245681912394639,0.37461177430018255,True
ONNX,INT8 Dynamic,640,CPU1,YOLOv8m,3.6132,276.763,99.0,0.7236,,0.9715382863894548,0.0406360979289104,0.6611855741329281,0.3657228577468149,False
PyTorch,FP32,640,CPU1,YOLOv8m,4.307,232.1802,49.7,0.698181,,0.8151127083858981,0.051538389012853965,0.3205748238220258,0.3589029061324001,False
ONNX,FP32,640,CPU1,YOLOv8m,1.9216,520.3997,99.0,0.7236,,0.9715382863894548,0.014054495741538076,0.6611855741329281,0.3577483770906032,False
TFLite,FP32,640,CPU2,YOLOv8m,1.602,624.2197,99.06,0.723569,,0.9713475159847138,0.009032339168421387,0.6616001105430428,0.3560634376342747,False
PyTorch,FP16,640,CPU1,YOLOv8m,3.3327,300.057,49.72,0.698181,,0.8151127083858981,0.03622835412803671,0.3207130026253973,0.3542822599062806,False
TFLite,FP32,640,CPU1,YOLOv8m,1.0272,973.5202,99.06,0.723569,,0.9713475159847138,0.0,0.6616001105430428,0.3533537358837483,False
ONNX,INT8 Static,640,CPU2,YOLOv8n,19.7071,50.7431,3.43,0.6514,,0.527227859863753,0.29353373770388763,0.0008981622219151607,0.3514944187986598,True
TFLite,Full Integer INT8,640,CPU1,YOLOv8n,4.5123,221.6165,3.39,0.672558,,0.6574317380414648,0.05476444891417078,0.0006218046151720347,0.3450208427719492,False
PyTorch,FP32,640,CPU1,YOLOv8n,12.2788,81.4412,6.23,0.660008,,0.580200493541499,0.17680631069486785,0.020243194693933958,0.33909350104042313,True
ONNX,INT8 Static,640,CPU1,YOLOv8n,15.5196,64.4347,3.43,0.653,,0.5370740743019959,0.22773185832364312,0.0008981622219151607,0.3366769622037079,True
PyTorch,INT8 Dynamic,640,CPU2,YOLOv8m,11.806,84.7027,99.25,0.698181,,0.8151127083858981,0.1693767874540369,0.6629128091750727,0.3257868285941456,False
TensorRT,INT8,640,GPU2,YOLOv8n,60.2051,16.6099,4.64,0.570273,,0.02798171065668144,0.9299145164838619,0.009257979825894708,0.29111361430832033,False
PyTorch,INT8 Dynamic,640,CPU1,YOLOv8m,4.3402,230.4041,99.25,0.698181,,0.8151127083858981,0.05206008988340301,0.6629128091750727,0.2905918193229554,False
TensorRT,INT8,640,GPU1,YOLOv8n,57.9249,17.2637,4.55,0.565726,,0.0,0.8940837235613942,0.008636175210722677,0.26649788202627367,False
